id	filename	md5	size	state
0110e743-ac32-4b78-8eed-6e6cb8b75849	0110e743-ac32-4b78-8eed-6e6cb8b75849/79924ccb-c0e0-4b16-8b06-c1037cd55d61.rna_seq.augmented_star_gene_counts.tsv	131042a076a6435d16fbe29da04deffd	4252547	validated
024ade99-be76-426d-b392-bdd488eed535	024ade99-be76-426d-b392-bdd488eed535/57399a31-429d-47de-9bc6-bab6e816aa91.rna_seq.augmented_star_gene_counts.tsv	e1893892819682f6cf71d8528519e238	4239959	validated
08675d5b-7408-489c-8b5b-a37fe94d8c4d	08675d5b-7408-489c-8b5b-a37fe94d8c4d/d1134e43-0cc6-4a95-951d-cb19623b27c1.rna_seq.augmented_star_gene_counts.tsv	791b0aac019bddfe30fb968a211b87ef	4270796	validated
0c098157-254b-492b-ad08-54cf813814d9	0c098157-254b-492b-ad08-54cf813814d9/0c7c39b2-e01c-4df4-bfce-abae7985ef79.rna_seq.augmented_star_gene_counts.tsv	65713438de280e52afa258033c514e2c	4238500	validated
0e23faa2-0df2-4140-aec5-ba8e840844ea	0e23faa2-0df2-4140-aec5-ba8e840844ea/feec3523-951e-4541-8664-2a71adfdecb5.rna_seq.augmented_star_gene_counts.tsv	786d5e97b9488401af14b655c3657087	4242544	validated
0e94fd0c-0f14-412a-80c3-7cb8b9d01c75	0e94fd0c-0f14-412a-80c3-7cb8b9d01c75/84c750b5-1e66-45d3-be5c-dd1d21853483.rna_seq.augmented_star_gene_counts.tsv	905509cd88835653c3eb7253f0723756	4236168	validated
103eafcd-aa33-4f6a-b3c4-a3002c951254	103eafcd-aa33-4f6a-b3c4-a3002c951254/325070af-c5d9-485c-90d7-e194cbd7c7cb.rna_seq.augmented_star_gene_counts.tsv	e4c1bb9e86dc0951f40eb4aa1937ef3c	4249185	validated
1244d7e1-7a90-4a47-b92b-fd93edd8561f	1244d7e1-7a90-4a47-b92b-fd93edd8561f/2315cbc2-7289-4181-92fb-4f684cce84fa.rna_seq.augmented_star_gene_counts.tsv	776c1db5a9ae9155d51ca83ab208f6ef	4242752	validated
124ae6a1-e656-4f54-84b2-0df788351384	124ae6a1-e656-4f54-84b2-0df788351384/3330751a-3bbb-4e63-9ae1-07112711cdb4.rna_seq.augmented_star_gene_counts.tsv	18230edbaa9dd5a4d054ac2de278d611	4231024	validated
127d29e6-393d-40c7-8c55-1ef072e3a525	127d29e6-393d-40c7-8c55-1ef072e3a525/955c6c5f-bf69-4e82-b007-10bd87ce9a17.rna_seq.augmented_star_gene_counts.tsv	568f98ece574bf75c516c8f232b7a5f4	4246075	validated
